codigo,nombre,costo_neto,precio_venta,marca_fabricante
1502020,FRU PM CARD PB560,0.00,,""
1502021,KEYPAD PB560,0.00,,""
1502022,FRU CPU CARD PB560,0.00,,""
1502023,PLACA CONTROL LONGFIAN JAY5/5Q,0.00,,""
1502024,Placa OXYMAG PCB WITHOUT DISPLAY (FROM SN 5400 TO 18249),0.00,,magnamed
1502025,PLACA CPAP G2 E-20C-H-O usada,0.00,,""
1503001,Tamiz molecular p/recarga de zeolita,145.50,,""
1503002,CANISTER INOGEN G4,0.00,,""
1504001,Canister Everflo,0.00,,""
1504002,Kit de canister zeolita compatible conc. G3 SP-563,385575.00,389550.00,""
1504003,Canister zeolita p/Inogen At Home SP-605,654750.00,661500.00,""
1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,178605.00,""
1504005,Canister zeolita LONGFIAN JAY-5AW,0.00,,""
1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,327442.50,""
1504007,Canister zeolita LONGFIAN JAY-10D,0.00,,""
1504008,RECAMBIO CEOLITA AIRSEP (PAR),145500.00,198450.00,""
1504010,Canister ceolita EVERFLO + Válvula,0.00,,""
1505001,Ventilador c/cable PB 560,0.00,,""
1505002,BUZZER CARD PB500 SERIES X1,0.00,,""
1505003,COOLER  KONSUNG,0.00,,""
1505004,COOLER LONGFIAN JAY,0.00,,""
1505005,INOGEN G3 FAN 40X20 (COOLER),0.00,,""
1505007,FRU BLOWER PB540,0.00,,""
1507001,Conector O2 hembra PB560,0.00,,""
1507002,Conector en ángulo de 90° (15M a 15F),0.00,,""
1507003,Conector Y ad. 22 mm recto s/termómetro y auclavab,0.00,,""
1507004,Conector doble macho 15M+15M autoclavable y reutil,0.00,,""
1508001,Cable de alimentación 220v tipo 8,0.00,,""
1508002,Cable de alimentación 220v tipo CPU,0.00,,""
1508003,Cargador de 12v p/conc. portátil LONGFIAN JAY-10D,0.00,,""
1508004,Cable de calibración p/Oxymag-Agile,0.00,,""
