os,fecha_entrega,fecha_reparado,fecha_liberado,estado_actual,resolucion,presupuesto_estado,presupuesto_fecha_aprobado,cliente,tipo_equipo,marca,modelo,variante,numero_serie,numero_interno,motivo,descripcion_problema,trabajos_realizados,comentarios,quote_id,presupuesto_items_cant,presupuesto_items_detalle
28782,2025-12-15 10:40:00,,2025-12-12 16:22:12,entregado,reparado,aprobado,2025-12-12 16:22:11,ACUDIR,ASPIRADOR A BATERÍAS,Movi-vac,A-550,"",A8-0483,"",reparación,NO FUNCIONA A BATERIAS.,"CAMBIO DE BATERIAS DE 6V. 4 AMP. LOTER 9868, AJUSTE VALVULA AGUJA, REPARACION Y AJUSTE SOPORTE DE BATERIAS, PEGADO SOPORTE PLASTICO TAPA POSTERIOR,","",8431,2,1.00 x baterísa || 1.00 x Mano de obra
28862,2025-12-18 07:06:00,,2025-12-17 12:24:31,entregado,reparado,aprobado,2025-12-17 12:24:30,OXICASTHOMECARE,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5Q,"",MZJ5S79790,"",reparación,"zeolita degradada
pila alarma degradada","cambio de zeolita - cambio de pila alarma - cambio de filtros - corrección de tecla ON/OFF - control y limpieza del equipo

Se BONIFICA el cambio de zeolitas por posible falla de fábrica.","",8469,1,1.00 x Mano de obra
28705,2025-12-19 07:01:00,,2025-12-17 11:51:05,entregado,reparado,aprobado,2025-12-17 11:51:05,SIED,CONCENTRADOR DE OXÍGENO,Philips Respironics,EVERFLO,"",0012047,"",reparación,"reemplazo de tamiz ciolita, valvula pilow, filtro, limpieza.","","",8443,1,1.00 x Canister + válvulas
28788,2025-12-19 07:01:00,,2025-12-17 11:49:48,entregado,reparado,aprobado,2025-12-17 11:49:47,SIED,ASPIRADOR A BATERÍAS,Movi-vac,A-550,"",B5-0769,"",reparación,MOTOR RUIDOSO VACUOMETRO TRABADO,"DESMARME LIMPIEZA Y LUBRICACION DE MOTOR, FIJACION MOTOR A BOMBA CAMBIO DE VACUOMETRO","",8454,2,1.00 x Mano de obra || 1.00 x Vacuómetro
28499,2025-12-19 09:59:20,,2025-12-18 12:21:34,entregado,reparado,aprobado,2025-12-17 12:09:06,SIED,CONCENTRADOR DE OXÍGENO,AirSep,NewLife Elite,5L,V9904,"",otros,"",cambio de filtros - reparación de acumulador - cambio de tapa lateral - reapración alarma,"",8290,1,1.00 x Mano de obra
28500,2025-12-19 09:59:56,,2025-12-18 12:21:09,entregado,reparado,aprobado,2025-12-17 12:05:48,SIED,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5,"",MZJ5S169962,"",otros,"","compresor degradado - cambio de compresor (en espera de aprobación de presupuesto) - cambio de filtros - control del equipo
","",8392,2,1.00 x Mano de obra (ajuste CostoCliente) || 1.00 x Compresor
28613,2025-12-19 10:03:00,,2025-12-17 12:09:13,entregado,reparado,aprobado,2025-12-17 12:09:12,SIED,BOMBA DE ALIMENTACIÓN,Kangaroo,224,"",T0123720,"",reparación,NO FUNCIONA,"REQUIERE: 
CAMBIO DE FUSIBLE 5X20 1/2A- REPARACION DE GABINETE (SOPORTE INTERIOR) - CAMBIO DE BATERIA  LOTE 9868- LIMPIEZA CONTACTO TECLADO - LIMPIEZA GENERAL DEL EQUIPO - AJUSTE TORNILLO DE TORNILLA MORDAZA - COLOCACION DE GOMA MORDAZA - NO SE REEMPLAZA MANIJA POR FALTA DE REPUESTOS
(MANO DE OBRA= 3 HORAS)
","",8330,1,1.00 x Mano de obra
28612,2025-12-19 10:03:18,,2025-12-17 12:05:23,entregado,reparado,aprobado,2025-12-17 12:05:22,SIED,BOMBA DE INFUSIÓN,Kangaroo,324,"",T9321438,"",reparación,NO ENCIENDE,"REQUIERE:
CAMBIO DE FUSIBLE DE PLACA - CAMIBO DE GOMA MORDAZA- CAMBIO DE BUZZER , CAMBIO DE PACK DE BATERIAS LOTE 9419, LIMPIEZA INTERIOR.","",8331,2,1.00 x Pack BAterías || 1.00 x Mano de obra
28704,2025-12-19 10:04:18,,2025-12-17 12:07:42,entregado,reparado,aprobado,2025-12-17 12:07:41,SIED,CONCENTRADOR DE OXÍGENO,AirSep,NewLife Elite,5L,n5157553,"",reparación,el quipo presento un paro en su funcionamiento después de un tiempo de su inicio debido a que el capacitor que tenia conectado el compresor ya estaba degradado,cambio de capacitor - cambio de filtros - control de funcionamiento ok - concentra 91-92% en 5L,"",8421,2,1.00 x Capacitor || 1.00 x Mano de obra
28784,2025-12-19 10:04:35,,2025-12-17 11:59:22,entregado,reparado,aprobado,2025-12-17 11:59:21,SIED,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5,"",MZJ5S121153,"",reparación,"manguera de zeolita derecha rota
placa principal con falla en la alarma",cambio de manguera zeolita - cambio de filtros - cambio de placa principal - control y limpieza del equipo,"",8437,2,1.00 x Placa || 1.00 x Mano de obra
28783,2025-12-19 10:04:50,,2025-12-17 12:00:02,entregado,reparado,aprobado,2025-12-17 11:59:49,SIED,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5Q,"",SIED012024219,"",reparación,se soltó el tapón derecho del compresor,colocación de tapón - cambio de filtros - cambio de tapa de filtro - control y limpieza del equipo,"",8436,1,1.00 x Mano de obra
28706,2025-12-19 10:05:04,,2025-12-17 12:06:14,entregado,reparado,aprobado,2025-12-17 12:06:13,SIED,CONCENTRADOR DE OXÍGENO,Philips Respironics,EVERFLO,"",0009498,"",reparación,"",reemplazo de zeolita - reemplazo de válvula pilow - cambio de filtro - limpieza interna externa - control de funcionamiento - ajuste del regulador - reparación de tecla,"",8435,1,1.00 x Canister
28617,2025-12-19 10:05:19,,2025-12-17 12:09:33,entregado,reparado,aprobado,2025-12-17 12:09:32,SIED,CONCENTRADOR DE OXÍGENO,Philips Respironics,EVERFLO,"",0011104,"",reparación,"reemplazo tamiz ciolita, valvula pilow, limpieza filtro nuevo, ajuste de fuga en compresor.","","",8434,1,1.00 x Cambio ceoltias
28616,2025-12-19 10:05:32,,2025-12-17 12:09:24,entregado,reparado,aprobado,2025-12-17 12:09:23,SIED,CONCENTRADOR DE OXÍGENO,Philips Respironics,EVERFLO,"",0005471,"",reparación,"reemplazo de tamiz, valvula pilow, filtro, limpieza","","",8412,1,1.00 x Canister
28178,2025-12-23 00:00:00,,2025-11-12 09:50:33,entregado,reparado,aprobado,2025-11-12 09:47:09,PRAXAIR ARG.,DESFIBRILADOR,Mindray,C1A,"",AF3-29016147,"",otros,"","● Revisión integral del equipo 
● Chequeo de nivel de batería 
● Chequeo de memoria interna 
● Chequeo de patrones de descarga 
● Prueba de niveles de descarga 
● Actualización a ultima versión del sistema. 
","",8211,2,1.21 x Costo || 0.30 x Revisión
28874,2025-12-24 08:03:00,,2025-12-24 11:00:41,entregado,reparado,aprobado,2025-12-24 11:00:37,AVIL SALUD SRL,ASPIRADOR A BATERÍAS,Movi-vac,A-550,"",C8-1371,"",reparación,VALVULA AGUJA FORZADA,LUBRICACION VALVULA AGUJA Y FIJACION A GABINETE,SIN ACCESORIOS,8487,1,1.00 x Mano de obra
28871,2025-12-30 13:47:00,,2025-12-17 13:56:39,entregado,reparado,aprobado,2025-12-17 13:56:37,SOENSA,ASPIRADOR A BATERÍAS,Movi-vac,A-550,"",A4-0281,"",reparación,PULSADOR DE ENCENDIDO DESARMADO,"REPARACION DE LLAVE DE ENCENDIDO (REARMADO MONTAJE DE LLAVE ENCENDIDO) DESMONTAJE TOTAL DE MOTOR BATERIAS Y PLACA ELECTRONICA LIMPIEZA INTERIOR MONTAJE DE BATERIAS , LIMPIEZA MOTOR Y LUBRICACION CON GRASA EN AEROSOL CONTROL DE FUNCIONAMIENTO PLACA ELECTRONICA",Entrega: remito 28871 - retira YO,8470,1,1.00 x Mano de obra
28918,2025-12-31 11:38:00,,2025-12-30 13:57:23,entregado,reparado,aprobado,2025-12-30 13:57:19,RUSSO PABLO MATIAS,POLÍGRAFO,BMC,PolyWatch YH-600B,PRO,S222D804029,"",reparación,no sensa flujo y Respiración toracoabdominal por cable de kit de respiración degradado - se reinicia la fecha y hora por pila interna de 3v obsoleta - tiene artificio en las señales a la hora de leer los datos de terapia en el software - el año máximo al que llega el equipo es 2023 - equipo sin conector plástico de cánula nasal del kit de respiración - carcaza rota donde va la varilla de soporte de la tapa de pila y micro sd,cambio de cable de kit de respiración - cambio de pila interna de 3v - actualización de software para corrección de año y artificio - colocación de conector plástico de cánula nasal del kit de respiración - control de funcionamiento ok - reparación de carcaza - incorporación de varilla de tapa de pila y micro sd,"",8503,3,1.00 x CAble || 1.00 x Canula || 1.00 x Mano de obra
