os,fecha_ingreso,fecha_entrega,cliente,marca,modelo,tipo_equipo,quote_item_id,tipo_item,item_descripcion,qty,precio_u,costo_u_neto,repuesto_codigo,descripcion_problema,trabajos_realizados
28895,2025-12-18 00:00:00,2026-01-20 07:10:00,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,"","","","","","","",equipo no funcionaba correctamente a baterias - baterias descargadas -,se cargaron las baterias hasta que lleguen a la tensión normal de las mismas (estaban muy descargadas) - control de funcionamiento de baterias ok - control de carga ok - aspiracion maxima 550mmHg
28896,2025-12-18 00:00:00,2026-01-20 07:13:00,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3665,repuesto,Vacuómetro,1.00,52852.50,"","","","CAMBIO DE VACUOMETRO, CAMBIO DE 2 BATERIAS DE 6V 4 AMP LOTE 9970 LIMPIEZA Y LUBRICACION DE MOTOR, COLOCACION DE SUPLEMENTE SOPORTE DE VALVULA AGUJA"
28896,2025-12-18 00:00:00,2026-01-20 07:13:00,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3666,repuesto,Baterías,1.00,58725.00,"","","","CAMBIO DE VACUOMETRO, CAMBIO DE 2 BATERIAS DE 6V 4 AMP LOTE 9970 LIMPIEZA Y LUBRICACION DE MOTOR, COLOCACION DE SUPLEMENTE SOPORTE DE VALVULA AGUJA"
28897,2025-12-18 00:00:00,2026-01-20 07:11:00,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,"","","","","","","",NO FUNCIONA A BATERIAS BAJO NIVEL DE ASPIRACION,"CAMBIO DE MINIFUSE 3 AMP, DESARME LIMPIEZA Y LUBRICACION MOTOR."
28898,2025-12-18 00:00:00,2026-01-19 07:15:00,OXIDOM,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3683,repuesto,Baterías,1.00,58725.00,"","",baterias obsoletas - falla en carga de baterias - falla en carga del equipo por jack de alimentacion en mal estado - limpieza en pines de conexion de placa -  aspiración máxima 5500mmHg,requiere cambio de pack de baterias 6v 4a- jack de alimentacion - 
28899,2025-12-22 00:00:00,,JORGE TEMPORETTI,Inogen,ONE,CONCENTRADOR DE OXÍGENO PORTÁTIL,3656,repuesto,Cambio de ceolitas,1.00,443365.38,"","","Lectura de LOGS con software de Inogen DATA LOG:
- Nivel de Oxígeno bajo. Ceolitas agotadas con 0% de vida útil.
- Filtros para recambio
- Batería ok
- Compresor ok","Se cambia canister de ceolitas (HF-COLC-244727324)
Se cambian Filtros
Limpieza general del equipo"
28912,2025-12-22 00:00:00,2026-01-07 06:54:00,NOVAMED S.A.,Silfab,N-33A,ASPIRADOR,"","","","","","","","",LIMPIEZA Y CONTROL DE FUNCIONAMIENTO
28906,2025-12-23 00:00:00,,SIED,Philips Respironics,EVERFLO,CONCENTRADOR DE OXÍGENO,3753,repuesto,Canister ceolita EVERFLO + Válvula,1.00,438438.00,337260.00,1504010,"",cambio de canister - cambio de válvula pilot - cambio de filtro - control y limpieza del equipo
28906,2025-12-23 00:00:00,,SIED,Philips Respironics,EVERFLO,CONCENTRADOR DE OXÍGENO,3822,repuesto,FILTRO ONCENTRADOR EVERFLOW GENÉRICO,1.00,20878.00,14600.00,1208036,"",cambio de canister - cambio de válvula pilot - cambio de filtro - control y limpieza del equipo
28907,2025-12-23 00:00:00,2026-01-13 12:00:10,SIED,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,3670,repuesto,Ceolitas,1.00,176175.00,"","","compresor ruidoso
silenciadores sueltos
base plástica rota
zeolita degradada",cambio de base plástica - cambio de labios - cambio de flapers - ajuste de silenciadores - cambio de filtros - cambio de zeolita - cambio de tapa superior -  ajuste de tecla ON/OFF
