device_id,numero_serie,modelo_actual,modelo_nuevo,mg_key,modelo_excel
22547,MG 4056,JAY,JAY-5,MG4056,JAY-5
22666,MG 5473,JAY-5,JAY-5Q,MG5473,JAY-5Q
22584,MG 4572,JAY,JAY-5,MG4572,JAY-5
22546,MG 5480,JAY,JAY-5Q,MG5480,JAY-5Q
22633,MG 5109,JAY,JAY-5Q,MG5109,JAY-5Q
22664,MG 5130,JAY,JAY-5Q,MG5130,JAY-5Q
22665,MG 5155,JAY,JAY-5Q,MG5155,JAY-5Q
22601,MG 4198,JAY,JAY-5,MG4198,JAY-5
22669,MG 5343,JAY,JAY-5Q,MG5343,JAY-5Q
22651,MG 5011,JAY,JAY-5,MG5011,JAY-5
22659,MG 4788,JAY,JAY-5,MG4788,JAY-5
22661,MG 4557,JAY,JAY-5,MG4557,JAY-5
22663,MG 6405,JAY,JAY-5,MG6405,JAY-5
22667,MG 6408,JAY,JAY-5,MG6408,JAY-5
22683,MG 6517,JAY,JAY-5,MG6517,JAY-5
22688,MG 4907,JAY,JAY-5,MG4907,JAY-5
22693,MG 4538,JAY,JAY-5,MG4538,JAY-5
22798,MG 5466,JAY,JAY-5Q,MG5466,JAY-5Q
22873,MG 5324,JAY,JAY-5Q,MG5324,JAY-5Q
22876,MG 4582,JAY,JAY-5,MG4582,JAY-5
22916,mg 4788,JAY,JAY-5,MG4788,JAY-5
22921,MG 4758,JAY,JAY-5,MG4758,JAY-5
22926,MG 5011,JAY,JAY-5,MG5011,JAY-5
22929,MG 4573,JAY,JAY-5,MG4573,JAY-5
22992,MG 5053,JAY-5,JAY-5Q,MG5053,JAY-5Q
22932,MG 4058,JAY,JAY-5,MG4058,JAY-5
23025,MG 4894,JAY,JAY-5,MG4894,JAY-5
23026,MG 4560,JAY,JAY-5,MG4560,JAY-5
23080,MG 6342,JAY-5,JAY-5Q,MG6342,JAY-5Q
23095,MG 5345,JAY,JAY-5Q,MG5345,JAY-5Q
23070,MG 5473,JAY,JAY-5Q,MG5473,JAY-5Q
23071,MG 5109,JAY,JAY-5Q,MG5109,JAY-5Q
23096,MG 4164,JAY,JAY-5,MG4164,JAY-5
23112,mg 4242,JAY,JAY-5,MG4242,JAY-5
23113,mg 4765,JAY,JAY-5,MG4765,JAY-5
23212,MG 3863,JAY,JAY-5Q,MG3863,JAY-5Q
23198,MG 4914,JAY,JAY-5,MG4914,JAY-5
23209,MG 4540,JAY,JAY-5,MG4540,JAY-5
23210,MG 4586,JAY,JAY-5,MG4586,JAY-5
23303,MG 5019,JAY,JAY-5,MG5019,JAY-5
23344,MG 4701,JAY,JAY-5,MG4701,JAY-5
23384,MG 4058,JAY,JAY-5,MG4058,JAY-5
23399,MG 4056,JAY,JAY-5,MG4056,JAY-5
23400,MG 4572,JAY,JAY-5,MG4572,JAY-5
23404,MG 4741,JAY,JAY-5,MG4741,JAY-5
23412,mg 4242,JAY,JAY-5,MG4242,JAY-5
23434,MG 4242,JAY,JAY-5,MG4242,JAY-5
23451,MG 4436,JAY,JAY-5,MG4436,JAY-5
23571,MG 5465,JAY,JAY-5Q,MG5465,JAY-5Q
23609,MG 4753,JAY,JAY-5,MG4753,JAY-5
23613,MG 4714,JAY,JAY-5,MG4714,JAY-5
23617,MG 4576,JAY,JAY-5,MG4576,JAY-5
23561,MG 4785,JAY-5,RADICAL,MG4785,RADICAL
23650,MG 4907,JAY,JAY-5,MG4907,JAY-5
23652,MG 4929,JAY,JAY-5,MG4929,JAY-5
23659,MG 3672,JAY,JAY-5,MG3672,JAY-5
23688,MG 4537,JAY,JAY-5,MG4537,JAY-5
23683,MG 5465,JAY,JAY-5Q,MG5465,JAY-5Q
23684,MG 5130,JAY,JAY-5Q,MG5130,JAY-5Q
23685,MG 5121,JAY,JAY-5Q,MG5121,JAY-5Q
23759,MG 4058,JAY,JAY-5,MG4058,JAY-5
23835,MG 4736,JAY,JAY-5,MG4736,JAY-5
23813,MG 5131,JAY,JAY-5Q,MG5131,JAY-5Q
23849,MG 5326,JAY,JAY-5Q,MG5326,JAY-5Q
23887,MG 4718,JAY,JAY-5,MG4718,JAY-5
23888,MG 4577,JAY,JAY-5,MG4577,JAY-5
23951,MG 4700,JAY,JAY-5,MG4700,JAY-5
23953,MG 5463,JAY,JAY-5Q,MG5463,JAY-5Q
23982,MG 4929,JAY,JAY-5,MG4929,JAY-5
23988,MG 4544,JAY,JAY-5,MG4544,JAY-5
24091,MG 7104,JAY-10,GII T-25T,MG7104,GII T-25T
24097,MG 6413,JAY,JAY-5,MG6413,JAY-5
24098,MG 4059,JAY,JAY-5,MG4059,JAY-5
24108,MG 6559,JAY,JAY-5,MG6559,JAY-5
24112,MG 4056,JAY,JAY-5,MG4056,JAY-5
24114,MG 4537,JAY,JAY-5,MG4537,JAY-5
24127,MG 3863,JAY,JAY-5Q,MG3863,JAY-5Q
24130,MG 5463,JAY,JAY-5Q,MG5463,JAY-5Q
24131,MG 7004,JAY-5,JAY-5Q,MG7004,JAY-5Q
24133,MG 4566,JAY,JAY-5,MG4566,JAY-5
24135,MG 6537,JAY,JAY-5,MG6537,JAY-5
24149,MG 4539,JAY,JAY-5,MG4539,JAY-5
24190,MG 4741,JAY,JAY-5,MG4741,JAY-5
