table_name,pk_value,column_name,old_value,new_value,confidence,method,evidence_url,ts,note
devices,16190,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16196,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16208,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16209,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16210,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16211,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16212,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16214,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16230,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16234,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16273,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16285,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16424,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16425,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16432,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16477,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16485,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
