brand_norm,cluster_id,canonical_model_norm,members,total
NELLCOR,10,,,21
NELLCOR,11,595,595,18
NELLCOR,12,NPB-290,NPB-290,12
NELLCOR,13,395,395,11
NELLCOR,14,N-290,N-290,6
NELLCOR,15,550,550,5
NELLCOR,16,LIBRA,LIBRA,5
NELLCOR,17,ADULTO,ADULTO,5
NELLCOR,18,NPB-195,NPB-195,5
NELLCOR,19,NBP-295,NBP-295,3
NELLCOR,20,840,840,3
NELLCOR,21,NPB-4000,NPB-4000,2
NELLCOR,22,OXI-MAX PINZA ADULTO,OXI-MAX PINZA ADULTO,1
NELLCOR,23,PINZA ADULTO,PINZA ADULTO,1
NELLCOR,24,MASIMO,MASIMO,1
NELLCOR,25,N-20E,N-20E,1
NELLCOR,26,OXYMAX Y,OXYMAX Y,1
NELLCOR,27,190,190,1
NELLCOR,28,N190,N190,1
NELLCOR,29,295,295,1
NELLCOR,30,PB-295,PB-295,1
NELLCOR,31,PINZA,PINZA,1
NELLCOR,32,N-180,N-180,1
NELLCOR,33,KINGSTAR 335,KINGSTAR 335,1
NELLCOR,34,NELLCOR,NELLCOR,1
NELLCOR,35,BEDSIDE SPO2,BEDSIDE SPO2,1
NEONATAL,1,PC-305,PC-305,1
NEUMOVENT,1,GRAHPNET,GRAHPNET,15
NEUMOVENT,2,GRAPH,GRAPH,10
NEUMOVENT,3,TS,TS,8
NEUMOVENT,4,,,3
NEUMOVENT,5,GRAF,GRAF,2
NEUMOVENT,6,ADVANCE,ADVANCE,1
NEUMOVENT,7,TS TECNO,TS TECNO,1
NEWPORT,1,E-360,E-360,23
NEWPORT,2,HT-50,HT-50,14
NEWPORT,3,360,360,7
NEWPORT,4,HT-70,HT-70,6
NEWPORT,5,E-150,E-150,1
NEWPORT,6,150,150,1
NIDEK,1,MARK 5,MARK 5,3
NIDEK,2,SILENCIO,SILENCIO,2
NIDEK,3,SILENZIO PLUZ,SILENZIO PLUZ,1
NIDEK,4,SILENZIO,SILENZIO,1
NIDEK,5,NUVO,NUVO,1
NOVAMETRIX,1,NICO,NICO,7
NOVAMETRIX,2,515,515,4
NOVAMETRIX,3,,,4
NOVAMETRIX,4,OXYPLETH,OXYPLETH,4
NOVAMETRIX,5,Y,Y,2
NOVAMETRIX,6,OXIPLETH,OXIPLETH,2
NOVAMETRIX,7,515B,515B,2
NOVAMETRIX,8,NEO,NEO,1
NOVAMETRIX,9,COSMO,COSMO,1
NOVAMETRIX,10,M-10,M-10,1
NOVAMETRIX,11,OXYPLEH,OXYPLEH,1
OHMEDA,1,4700,4700,1
ORION,1,,,13
ORION,2,VYASIS,VYASIS,9
ORION,3,VIASYS,VIASYS,1
OXI-3,1,,,1
OXIMAX,1,Y,Y,1
PATROL,1,,,2
PATROL,2,FLEXI FLO,FLEXI FLO,1
PATROL,3,334,334,1
PATROL,4,FLEXFLOW,FLEXFLOW,1
PHILIPS,1,SYSTEM ONE,SYSTEM ONE,11
PHILIPS,2,M3,M3,10
PHILIPS,3,RESPIRONICS,RESPIRONICS,6
PHILIPS,4,REMSTAR,REMSTAR,5
PHILIPS,5,M4,M4,3
PHILIPS,6,CODE MASTER,CODE MASTER,2
PHILIPS,7,AVAPS,AVAPS,2
PHILIPS,8,C-SERIES,C-SERIES,1
PHILIPS,9,24C,24C,1
PHILIPS,10,PRO,PRO,1
PHILIPS,11,V24,V24,1
PHILIPS,12,M3929,M3929,1
PHILIPS,13,SERIE C,SERIE C,1
PHILIPS,14,SIMPLYGO,SIMPLYGO,1
PHILLIPS,1,,,6
PHISYO CONTROL,1,LIFEPACK 9,LIFEPACK 9,1
POINT,1,HIOFFRICHTER,HIOFFRICHTER | HOFFRICHTER,2
POLYWATCH,1,KIT RESPIRADOR,KIT RESPIRADOR,1
PORTATIL,1,BMC,BMC,2
PRECISION MEDICAL,1,EASY GO VAC,EASY GO VAC,1
PULMONETIC,1,ITU950,ITU950,1
PURITA BENNETT,1,,,1
PURITAN BENNETT,1,PB-560,PB-560,42
PURITAN BENNETT,2,420,420,24
PURITAN BENNETT,3,425,425,19
PURITAN BENNETT,4,330,330,15
PURITAN BENNETT,5,420 E,420 E,11
PURITAN BENNETT,6,560,560,10
PURITAN BENNETT,7,420 G,420 G,7
PURITAN BENNETT,8,425 ST,425 ST,5
PURITAN BENNETT,9,GOODKNIGHT 420 S,GOODKNIGHT 420 S,1
PURITAN BENNETT,10,KNIGHT 335,KNIGHT 335,1
PURITAN BENNETT,11,GOOD NIGHT 425,GOOD NIGHT 425,1
PURITAN BENNETT,12,840,840,1
PURITAN BENNETT,13,ORION,ORION,1
PURITAN BENNETT,14,NPB-290,NPB-290,1
QUAMTUM,1,HEALTHDYNE,HEALTHDYNE,1
RAZEL,1,,,2
RAZEL,2,A-99,A-99,1
REMEDY,1,AIR SEP,AIR SEP,2
REMEDY,2,RENEW,RENEW,2
REMEDY,3,REWEW,REWEW,1
REMEDY,4,RESPIRE,RESPIRE,1
REMEDY RENEW,1,,,3
REMSTAR,1,SERIE M,SERIE M,6
REMSTAR,2,,,4
REMSTAR,4,RESPIRONICS,RESPIRONICS | RESPIRONIC,3
REMSTAR,3,TANGO,TANGO,2
REMSTAR,5,PHILIPS,PHILIPS,1
REMSTAR,6,171P,171P,1
REMSTAR,7,RESPIRONICS SYSTEM ONE,RESPIRONICS SYSTEM ONE,1
REMSTART,1,SERIE M,SERIE M,2
RES MED,1,,,5
RESMART,1,G2,G2,6
RESMART,2,SERIE M,SERIE M,3
RESMART,3,25T,25T,3
RESMART,4,GII,GII,3
RESMART,5,BMC,BMC,2
RESMART,6,171,171,2
RESMART,7,,,2
RESMART,8,INT,INT,1
RESMART,9,BMC G1,BMC G1,1
RESMART,10,G1,G1,1
RESMART,11,GII Y-25T,GII Y-25T,1
RESMART,12,GII T25T,GII T25T,1
RESMED,1,TANGO,TANGO,97
RESMED,2,S9,S9,26
RESMED,3,ASTRAL 150,ASTRAL 150,9
RESMED,4,,,7
RESMED,5,S7,S7,5
RESMED,6,VPAP 3,VPAP 3,3
RESMED,7,SPIRIT,SPIRIT,2
RESMED,8,MALIBU,MALIBU,2
RESMED,9,CPAP,CPAP,1
RESMED,10,S8 ST,S8 ST,1
RESMED,11,IIIST,IIIST,1
RESMED,12,ADAPT SV,ADAPT SV,1
RESMED,13,ADAPT,ADAPT,1
RESMED,14,ST,ST,1
RESMED,15,SLEEP,SLEEP,1
