brand_norm,model_norm,cluster_id,canonical_model_norm
NELLCOR,N-290,14,N-290
NELLCOR,550,15,550
NELLCOR,LIBRA,16,LIBRA
NELLCOR,ADULTO,17,ADULTO
NELLCOR,NPB-195,18,NPB-195
NELLCOR,NBP-295,19,NBP-295
NELLCOR,840,20,840
NELLCOR,NPB-4000,21,NPB-4000
NELLCOR,OXI-MAX PINZA ADULTO,22,OXI-MAX PINZA ADULTO
NELLCOR,PINZA ADULTO,23,PINZA ADULTO
NELLCOR,MASIMO,24,MASIMO
NELLCOR,N-20E,25,N-20E
NELLCOR,OXYMAX Y,26,OXYMAX Y
NELLCOR,190,27,190
NELLCOR,N190,28,N190
NELLCOR,295,29,295
NELLCOR,PB-295,30,PB-295
NELLCOR,PINZA,31,PINZA
NELLCOR,N-180,32,N-180
NELLCOR,KINGSTAR 335,33,KINGSTAR 335
NELLCOR,NELLCOR,34,NELLCOR
NELLCOR,BEDSIDE SPO2,35,BEDSIDE SPO2
NEONATAL,PC-305,1,PC-305
NEUMOVENT,GRAHPNET,1,GRAHPNET
NEUMOVENT,GRAPH,2,GRAPH
NEUMOVENT,TS,3,TS
NEUMOVENT,,4,
NEUMOVENT,GRAF,5,GRAF
NEUMOVENT,ADVANCE,6,ADVANCE
NEUMOVENT,TS TECNO,7,TS TECNO
NEWPORT,E-360,1,E-360
NEWPORT,HT-50,2,HT-50
NEWPORT,360,3,360
NEWPORT,HT-70,4,HT-70
NEWPORT,E-150,5,E-150
NEWPORT,150,6,150
NIDEK,MARK 5,1,MARK 5
NIDEK,SILENCIO,2,SILENCIO
NIDEK,SILENZIO PLUZ,3,SILENZIO PLUZ
NIDEK,SILENZIO,4,SILENZIO
NIDEK,NUVO,5,NUVO
NOVAMETRIX,NICO,1,NICO
NOVAMETRIX,515,2,515
NOVAMETRIX,,3,
NOVAMETRIX,OXYPLETH,4,OXYPLETH
NOVAMETRIX,Y,5,Y
NOVAMETRIX,OXIPLETH,6,OXIPLETH
NOVAMETRIX,515B,7,515B
NOVAMETRIX,NEO,8,NEO
NOVAMETRIX,COSMO,9,COSMO
NOVAMETRIX,M-10,10,M-10
NOVAMETRIX,OXYPLEH,11,OXYPLEH
OHMEDA,4700,1,4700
ORION,,1,
ORION,VYASIS,2,VYASIS
ORION,VIASYS,3,VIASYS
OXI-3,,1,
OXIMAX,Y,1,Y
PATROL,,1,
PATROL,FLEXI FLO,2,FLEXI FLO
PATROL,334,3,334
PATROL,FLEXFLOW,4,FLEXFLOW
PHILIPS,SYSTEM ONE,1,SYSTEM ONE
PHILIPS,M3,2,M3
PHILIPS,RESPIRONICS,3,RESPIRONICS
PHILIPS,REMSTAR,4,REMSTAR
PHILIPS,M4,5,M4
PHILIPS,CODE MASTER,6,CODE MASTER
PHILIPS,AVAPS,7,AVAPS
PHILIPS,C-SERIES,8,C-SERIES
PHILIPS,24C,9,24C
PHILIPS,PRO,10,PRO
PHILIPS,V24,11,V24
PHILIPS,M3929,12,M3929
PHILIPS,SERIE C,13,SERIE C
PHILIPS,SIMPLYGO,14,SIMPLYGO
PHILLIPS,,1,
PHISYO CONTROL,LIFEPACK 9,1,LIFEPACK 9
POINT,HIOFFRICHTER,1,HIOFFRICHTER
POINT,HOFFRICHTER,1,HIOFFRICHTER
POLYWATCH,KIT RESPIRADOR,1,KIT RESPIRADOR
PORTATIL,BMC,1,BMC
PRECISION MEDICAL,EASY GO VAC,1,EASY GO VAC
PULMONETIC,ITU950,1,ITU950
PURITA BENNETT,,1,
PURITAN BENNETT,PB-560,1,PB-560
PURITAN BENNETT,420,2,420
PURITAN BENNETT,425,3,425
PURITAN BENNETT,330,4,330
PURITAN BENNETT,420 E,5,420 E
PURITAN BENNETT,560,6,560
PURITAN BENNETT,420 G,7,420 G
